1file_id	2sample	3DNA_code	4ADM_#	5SPECIES	6POP_CODE	7POPNAME	8POP#	9GROUP	10LONG	11LAT	12server	13path	14plastome
AP1004_DNA631	AP1004	631	8	PBAL	ALPAC6	ALPAC6	ALPAC6	B01	-114.605472	55.407194	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0840/D17UBACXX_3/IX0840_D17UBACXX_3_CCAACA.bam	DONE
AP1005_DNA623	AP1005	623	9	PBAL	ALPAC6	ALPAC6	ALPAC6	B01	-114.605472	55.407194	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-25/IX0837/D17VVACXX_8/IX0837_D17VVACXX_8_GATCAG.bam	DONE
AP1006_DNA638	AP1006	638	10	PBAL	ALPAC4	ALPAC4	ALPAC4	B01	-114.066367	55.198458	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0840/D17UBACXX_3/IX0840_D17UBACXX_3_AGTTCC.bam	DONE
AP2298_DNA630	AP2298	630	11	PBAL	ALPAC9	ALPAC9	ALPAC9	B01	-122.776389	59.188611	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0838/D17UBACXX_1/IX0838_D17UBACXX_1_CAAAAG.bam	DONE
AP2446_DNA627	AP2446	627	12	PBAL	ALPAC6	ALPAC6	ALPAC6	B01	-114.605472	55.407194	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0838/D17UBACXX_1/IX0838_D17UBACXX_1_ACCCAG.bam	DONE
AP5230_DNA635	AP5230	635	13	PBAL	ALPAC6	ALPAC6	ALPAC6	B01	-114.605472	55.407194	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0838/D17UBACXX_1/IX0838_D17UBACXX_1_GATGCT.bam	DONE
AP5451_DNA629	AP5451	629	14	PBAL	ALPAC8	ALPAC8	ALPAC8	B01	-111.544494	56.944131	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0841/D17UBACXX_4/IX0841_D17UBACXX_4_AGCGCT.bam	DONE
AP5452_DNA632	AP5452	632	15	PBAL	ALPAC3	ALPAC3	ALPAC3	B01	-113.257722	55.155408	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0841/D17UBACXX_4/IX0841_D17UBACXX_4_CTAGCT.bam	DONE
AP5453_DNA637	AP5453	637	16	PBAL	ALPAC1	ALPAC1	ALPAC1	B01	-111.7689	54.997028	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0838/D17UBACXX_1/IX0838_D17UBACXX_1_TGAATG.bam	DONE
AP5454_DNA625	AP5454	625	17	PBAL	ALPAC7	ALPAC7	ALPAC7	B01	-114.531594	55.435253	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0844/D17UBACXX_7/IX0844_D17UBACXX_7_AACCCC.bam	DONE
AP5455_DNA622	AP5455	622	18	PBAL	ALPAC2	ALPAC2	ALPAC2	B01	-111.969497	55.048622	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-06/IX0843/D17UBACXX_6/IX0843_D17UBACXX_6_ATCACG.bam	DONE
AP5456_DNA636	AP5456	636	19	PBAL	ALPAC5	ALPAC5	ALPAC5	B01	-113.305853	55.335675	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-06/IX0843/D17UBACXX_6/IX0843_D17UBACXX_6_TAATCG.bam	DONE
CAR12_DNA472	CAR12	472	20	PBAL	CAR	Carnduff		B03	-101.83	49.18	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0368/D12N9ACXX_7/IX0368_D12N9ACXX_7_GAATAA.bam	EASTGalaxy
GRA3_DNA231	GRA3	231	31	PBAL	GRA	Grand Rapids		B03	-99.35	53.2	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX978/C0KV7ACXX_5/INX978_C0KV7ACXX_5_CATTTT.bam	DONE
LAR9_DNA234	LAR9	234	32	PBAL	LAR	La Ronge		B03	-105.55	54.75	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX979/C0KV7ACXX_6/INX979_C0KV7ACXX_6_CGGAAT.bam	DONE
MIN9_DNA236	MIN9	236	35	PBAL	MIN	Minnedosa		B03	-99.85	50.32	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX979/C0KV7ACXX_6/INX979_C0KV7ACXX_6_GATATA.bam	DONE
BOY10_DNA887	BOY10	887	36	PBAL	BOY	Boyle		B03	-112.65	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-09/IX1915/C2P4LACXX_2/IX1915_C2P4LACXX_2_AGCGCT.bam	DONE
BOY11_DNA468	BOY11	468	37	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0368/D12N9ACXX_7/IX0368_D12N9ACXX_7_ATCTAT.bam	EASTGalaxy
BOY12_DNA469	BOY12	469	38	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0368/D12N9ACXX_7/IX0368_D12N9ACXX_7_CAGGCG.bam	EASTGalaxy
BOY13_DNA1107	BOY13	1107	39	PBAL	BOY	Boyle		B03	-112.65	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2046/C2PVTACXX_2/IX2046_C2PVTACXX_2_GCACTT.bam	DONE
BOY14_DNA888	BOY14	888	40	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1905/C2F5GACXX_7/IX1905_C2F5GACXX_7_CAAAAG.bam	DONE
BOY15_DNA889	BOY15	889	41	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1902/C2F5GACXX_4/IX1902_C2F5GACXX_4_CCAACA.bam	DONE
BOY1_DNA644	BOY1	644	42	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0851/C13N9ACXX_1/IX0851_C13N9ACXX_1_CGATGT.bam	DONE
BOY2_DNA789	BOY2	789	43	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0982/D18W4ACXX_4/IX0982_D18W4ACXX_4_CACCGG.bam	DONE
BOY3_DNA645	BOY3	645	44	PBAL	BOY	Boyle		B03	-112.65	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-06/IX0843/D17UBACXX_6/IX0843_D17UBACXX_6_TAGCTT.bam	DONE
BOY4_DNA790	BOY4	790	45	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0987/D1C4AACXX_5/IX0987_D1C4AACXX_5_CCCATG.bam	DONE
BOY5_DNA1160	BOY5	1160	46	PBAL	BOY	Boyle		B03	-112.65	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-30/IX2032/C2P5YACXX_4/IX2032_C2P5YACXX_4_ATCTAT.bam	DONE
BOY6_DNA646	BOY6	646	47	PBAL	BOY	Boyle		B03	-112.65	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-07/IX0855/D18UBACXX_2/IX0855_D18UBACXX_2_AACTTG.bam	DONE
BOY7_DNA1095	BOY7	1095	48	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-18/IX2034/C2RT2ACXX_3/IX2034_C2RT2ACXX_3_CACCGG.bam	DONE
BOY8_DNA467	BOY8	467	49	PBAL	BOY	Boyle		B03	-112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-22/IX0367/D12N9ACXX_6/IX0367_D12N9ACXX_6_AGAAGA.bam	DONE
